frame,shot_type
446,Backhand
447,Backhand
448,Backhand
449,Backhand
450,Backhand
451,Backhand
452,Backhand
453,Backhand
454,Backhand
455,Backhand
456,Backhand
457,Backhand
458,Backhand
459,Backhand
460,Backhand
461,Backhand
462,Backhand
463,Backhand
464,Backhand
465,Backhand
466,Backhand
467,Backhand
468,Backhand
469,Backhand
470,Backhand
471,Backhand
472,Backhand
473,Backhand
474,Backhand
475,Backhand
476,Backhand
477,Backhand
478,Backhand
479,Backhand
480,Backhand
481,Backhand
482,Backhand
483,Backhand
484,Backhand
485,Backhand
486,Backhand
487,Backhand
488,Backhand
489,Backhand
490,Backhand
491,Backhand
492,Backhand
493,Backhand
494,Backhand
495,Backhand
496,Backhand
497,Backhand
498,Backhand
499,Backhand
500,Backhand
501,Backhand
502,Backhand
503,Backhand
504,Backhand
505,Backhand
506,Backhand
507,Backhand
508,Backhand
509,Backhand
510,Backhand
511,Backhand
512,Backhand
513,Backhand
514,Backhand
515,Backhand
516,Backhand
517,Backhand
518,Backhand
519,Backhand
520,Backhand
521,Backhand
522,Backhand
523,Backhand
524,Backhand
525,Backhand
526,Backhand
527,Backhand
528,Backhand
529,Backhand
530,Backhand
531,Backhand
532,Backhand
533,Backhand
534,Backhand
535,Backhand
536,Backhand
537,Backhand
538,Backhand
539,Backhand
540,Backhand
541,Backhand
542,Backhand
543,Backhand
544,Backhand
545,Backhand
546,Backhand
547,Backhand
548,Backhand
549,Backhand
550,Backhand
551,Backhand
552,Backhand
553,Backhand
554,Backhand
555,Backhand
556,Backhand
557,Backhand
558,Backhand
559,Backhand
560,Backhand
561,Backhand
562,Backhand
563,Backhand
564,Backhand
565,Backhand
566,Backhand
567,Backhand
568,Backhand
569,Backhand
570,Backhand
571,Backhand
572,Backhand
573,Backhand
574,Backhand
575,Backhand
576,Backhand
577,Backhand
578,Backhand
579,Backhand
580,Backhand
581,Backhand
582,Backhand
583,Backhand
584,Backhand
585,Backhand
586,Backhand
587,Backhand
588,Backhand
589,Backhand
590,Backhand
591,Backhand
592,Backhand
593,Backhand
594,Backhand
595,Backhand
596,Backhand
597,Backhand
598,Backhand
599,Backhand
600,Backhand
601,Backhand
602,Backhand
603,Backhand
604,Backhand
605,Backhand
606,Backhand
607,Backhand
608,Backhand
609,Backhand
610,Backhand
611,Backhand
612,Backhand
613,Backhand
614,Backhand
615,Backhand
616,Backhand
617,Backhand
618,Backhand
619,Backhand
620,Backhand
621,Backhand
622,Backhand
623,Backhand
624,Backhand
625,Backhand
626,Backhand
627,Backhand
628,Backhand
629,Backhand
630,Backhand
631,Backhand
632,Backhand
633,Backhand
634,Backhand
635,Backhand
636,Backhand
637,Backhand
638,Backhand
639,Backhand
640,Backhand
641,Backhand
642,Backhand
643,Backhand
644,Backhand
645,Backhand
646,Backhand
647,Backhand
648,Backhand
649,Backhand
650,Backhand
651,Backhand
652,Backhand
653,Backhand
654,Backhand
655,Backhand
656,Backhand
657,Backhand
658,Backhand
659,Backhand
660,Backhand
661,Backhand
662,Backhand
663,Backhand
664,Backhand
665,Backhand
666,Backhand
667,Backhand
668,Backhand
669,Backhand
670,Backhand
671,Backhand
672,Backhand
673,Backhand
674,Backhand
675,Backhand
676,Backhand
677,Backhand
678,Backhand
679,Backhand
680,Backhand
681,Backhand
682,Backhand
683,Backhand
684,Backhand
685,Backhand
686,Backhand
687,Backhand
688,Backhand
689,Backhand
690,Backhand
691,Backhand
692,Backhand
693,Backhand
694,Backhand
695,Backhand
696,Backhand
697,Backhand
698,Backhand
699,Backhand
700,Backhand
701,Backhand
702,Backhand
703,Backhand
704,Backhand
705,Backhand
706,Backhand
707,Backhand
708,Backhand
709,Backhand
710,Backhand
711,Backhand
712,Backhand
713,Backhand
714,Backhand
715,Backhand
716,Backhand
717,Backhand
718,Backhand
719,Backhand
720,Backhand
721,Backhand
722,Backhand
723,Backhand
724,Backhand
725,Backhand
726,Backhand
727,Backhand
728,Backhand
729,Backhand
730,Backhand
731,Backhand
732,Backhand
733,Backhand
734,Backhand
735,Backhand
736,Backhand
737,Backhand
738,Backhand
739,Backhand
740,Backhand
741,Backhand
742,Backhand
743,Backhand
744,Backhand
745,Backhand
746,Backhand
747,Backhand
748,Backhand
749,Backhand
750,Backhand
751,Backhand
752,Backhand
753,Backhand
754,Backhand
755,Backhand
756,Backhand
757,Backhand
758,Backhand
759,Backhand
760,Backhand
761,Backhand
762,Backhand
763,Backhand
764,Backhand
765,Backhand
766,Backhand
767,Backhand
768,Backhand
769,Backhand
770,Backhand
771,Backhand
772,Backhand
773,Backhand
774,Backhand
775,Backhand
776,Backhand
777,Backhand
778,Backhand
779,Backhand
780,Backhand
781,Backhand
782,Backhand
783,Backhand
784,Backhand
785,Backhand
786,Backhand
787,Backhand
788,Backhand
789,Backhand
790,Backhand
791,Backhand
792,Backhand
793,Backhand
794,Backhand
795,Backhand
796,Backhand
797,Backhand
798,Backhand
799,Backhand
800,Backhand
801,Backhand
802,Backhand
803,Backhand
804,Backhand
805,Backhand
806,Backhand
807,Backhand
808,Backhand
809,Backhand
810,Backhand
811,Backhand
812,Backhand
813,Backhand
814,Backhand
815,Backhand
816,Backhand
817,Backhand
818,Backhand
819,Backhand
820,Backhand
821,Backhand
822,Backhand
823,Backhand
824,Backhand
825,Backhand
826,Backhand
827,Backhand
828,Backhand
829,Backhand
830,Backhand
831,Backhand
832,Backhand
833,Backhand
834,Backhand
835,Backhand
836,Backhand
837,Backhand
838,Backhand
839,Backhand
840,Backhand
841,Backhand
842,Backhand
843,Backhand
844,Backhand
845,Backhand
846,Backhand
847,Backhand
848,Backhand
849,Backhand
850,Backhand
851,Backhand
852,Backhand
853,Backhand
854,Backhand
855,Backhand
856,Backhand
857,Backhand
858,Backhand
859,Backhand
860,Backhand
861,Backhand
862,Backhand
863,Backhand
864,Backhand
865,Backhand
866,Backhand
867,Backhand
868,Backhand
869,Backhand
870,Backhand
871,Backhand
872,Backhand
873,Backhand
874,Backhand
875,Backhand
876,Backhand
877,Backhand
878,Backhand
879,Backhand
880,Backhand
881,Backhand
882,Backhand
883,Backhand
884,Backhand
885,Backhand
886,Backhand
887,Backhand
888,Backhand
889,Backhand
890,Backhand
891,Backhand
892,Backhand
893,Backhand
894,Backhand
895,Backhand
896,Backhand
897,Backhand
898,Backhand
899,Backhand
900,Backhand
901,Backhand
902,Backhand
903,Backhand
904,Backhand
905,Backhand
906,Backhand
907,Backhand
908,Backhand
909,Backhand
910,Backhand
911,Backhand
912,Backhand
913,Backhand
914,Backhand
915,Backhand
916,Backhand
917,Backhand
918,Backhand
919,Backhand
920,Backhand
921,Backhand
922,Backhand
923,Backhand
924,Backhand
925,Backhand
926,Backhand
927,Backhand
928,Backhand
929,Backhand
930,Backhand
931,Backhand
932,Backhand
933,Backhand
934,Backhand
935,Backhand
936,Backhand
937,Backhand
938,Backhand
939,Backhand
940,Backhand
941,Backhand
942,Backhand
943,Backhand
944,Backhand
945,Backhand
946,Backhand
947,Backhand
948,Backhand
949,Backhand
950,Backhand
951,Backhand
952,Backhand
953,Backhand
954,Backhand
955,Backhand
956,Backhand
957,Backhand
958,Backhand
959,Backhand
960,Backhand
961,Backhand
962,Backhand
963,Backhand
964,Backhand
965,Backhand
966,Backhand
967,Backhand
968,Backhand
969,Backhand
970,Backhand
971,Backhand
972,Backhand
973,Backhand
974,Backhand
975,Backhand
976,Backhand
977,Backhand
978,Backhand
979,Backhand
980,Backhand
981,Backhand
982,Backhand
983,Backhand
984,Backhand
985,Backhand
986,Backhand
987,Backhand
988,Backhand
989,Backhand
990,Backhand
991,Backhand
992,Backhand
993,Backhand
994,Backhand
995,Backhand
996,Backhand
997,Backhand
998,Backhand
999,Backhand
1000,Backhand
1001,Backhand
1002,Backhand
1003,Backhand
1004,Backhand
1005,Backhand
1006,Backhand
1007,Backhand
1008,Backhand
1009,Backhand
1010,Backhand
1011,Backhand
1012,Backhand
1013,Backhand
1014,Backhand
1015,Backhand
1016,Backhand
1017,Backhand
1018,Backhand
1019,Backhand
1020,Backhand
1021,Backhand
1022,Backhand
1023,Backhand
1024,Backhand
1025,Backhand
1026,Backhand
1027,Backhand
1028,Backhand
1029,Backhand
1030,Backhand
1031,Backhand
1032,Backhand
1033,Backhand
1034,Backhand
1035,Backhand
1036,Backhand
1037,Backhand
1038,Backhand
1039,Backhand
1040,Backhand
1041,Backhand
1042,Backhand
1043,Backhand
1044,Backhand
1045,Backhand
1046,Backhand
1047,Backhand
1048,Backhand
1049,Backhand
1050,Backhand
1051,Backhand
1052,Backhand
1053,Backhand
1054,Backhand
1055,Backhand
1056,Backhand
1057,Backhand
1058,Backhand
1059,Backhand
1060,Backhand
1061,Backhand
1062,Backhand
1063,Backhand
1064,Backhand
1065,Backhand
1066,Backhand
1067,Backhand
1068,Backhand
1069,Backhand
1070,Backhand
1071,Backhand
1072,Backhand
1073,Backhand
1074,Backhand
1075,Backhand
1076,Backhand
1077,Backhand
1078,Backhand
1079,Backhand
1080,Backhand
1081,Backhand
1082,Backhand
1083,Backhand
1084,Backhand
1085,Backhand
1086,Backhand
1087,Backhand
1088,Backhand
1089,Backhand
1090,Backhand
1091,Backhand
1092,Backhand
1093,Backhand
1094,Backhand
1095,Backhand
1096,Backhand
1097,Backhand
1098,Backhand
1099,Backhand
1100,Backhand
1101,Backhand
1102,Backhand
1103,Backhand
1104,Backhand
1105,Backhand
1106,Backhand
1107,Backhand
1108,Backhand
1109,Backhand
1110,Backhand
1111,Backhand
1112,Backhand
1113,Backhand
1114,Backhand
1115,Backhand
1116,Backhand
1117,Backhand
1118,Backhand
1119,Backhand
1120,Backhand
1121,Backhand
1122,Backhand
1123,Backhand
1124,Backhand
1125,Backhand
1126,Backhand
1127,Backhand
1128,Backhand
1129,Backhand
1130,Backhand
1131,Backhand
1132,Backhand
1133,Backhand
1134,Backhand
1135,Backhand
1136,Backhand
1137,Backhand
1138,Backhand
1139,Backhand
1140,Backhand
1141,Backhand
1142,Backhand
1143,Backhand
1144,Backhand
1145,Backhand
1146,Backhand
1147,Backhand
1148,Backhand
1149,Backhand
1150,Backhand
1151,Backhand
1152,Backhand
1153,Backhand
1154,Backhand
1155,Backhand
1156,Backhand
1157,Backhand
1158,Backhand
1159,Backhand
1160,Backhand
1161,Backhand
1162,Backhand
1163,Backhand
1164,Backhand
1165,Backhand
1166,Backhand
1167,Backhand
1168,Backhand
1169,Backhand
1170,Backhand
1171,Backhand
1172,Backhand
1173,Backhand
1174,Backhand
1175,Backhand
1176,Backhand
1177,Backhand
1178,Backhand
1179,Backhand
1180,Backhand
1181,Backhand
1182,Backhand
1183,Backhand
1184,Backhand
1185,Backhand
1186,Backhand
1187,Backhand
1188,Backhand
1189,Backhand
1190,Backhand
1191,Backhand
1192,Backhand
1193,Backhand
1194,Backhand
1195,Backhand
1196,Backhand
1197,Backhand
1198,Backhand
1199,Backhand
1200,Backhand
1201,Backhand
1202,Backhand
1203,Backhand
1204,Backhand
1205,Backhand
1206,Backhand
1207,Backhand
1208,Backhand
1209,Backhand
1210,Backhand
1211,Backhand
1212,Backhand
1213,Backhand
1214,Backhand
1215,Backhand
1216,Backhand
1217,Backhand
1218,Backhand
1219,Backhand
1220,Backhand
1221,Backhand
1222,Backhand
1223,Backhand
1224,Backhand
1225,Backhand
1226,Backhand
1227,Backhand
1228,Backhand
1229,Backhand
1230,Backhand
1231,Backhand
1232,Backhand
1233,Backhand
1234,Backhand
1235,Backhand
1236,Backhand
1237,Backhand
1238,Backhand
1239,Backhand
1240,Backhand
1241,Backhand
1242,Backhand
1243,Backhand
1244,Backhand
1245,Backhand
1246,Backhand
1247,Backhand
1248,Backhand
1249,Backhand
1250,Backhand
1251,Backhand
1252,Backhand
1253,Backhand
1254,Backhand
1255,Backhand
1256,Backhand
1257,Backhand
1258,Backhand
1259,Backhand
1260,Backhand
1261,Backhand
1262,Backhand
1263,Backhand
1264,Backhand
1265,Backhand
1266,Backhand
1267,Backhand
1268,Backhand
1269,Backhand
1270,Backhand
1271,Backhand
1272,Backhand
1273,Backhand
1274,Backhand
1275,Backhand
1276,Backhand
1277,Backhand
1278,Backhand
1279,Backhand
1280,Backhand
1281,Backhand
1282,Backhand
1283,Backhand
1284,Backhand
1285,Backhand
1286,Backhand
1287,Backhand
1288,Backhand
1289,Backhand
1290,Backhand
1291,Backhand
1292,Backhand
1293,Backhand
1294,Backhand
1295,Backhand
1296,Backhand
1297,Backhand
1298,Backhand
1299,Backhand
1300,Backhand
1301,Backhand
1302,Backhand
1303,Backhand
1304,Backhand
1305,Backhand
1306,Backhand
1307,Backhand
1308,Backhand
1309,Backhand
1310,Backhand
1311,Backhand
1312,Backhand
1313,Backhand
1314,Backhand
1315,Backhand
1316,Backhand
1317,Backhand
1318,Backhand
1319,Backhand
1320,Backhand
1321,Backhand
1322,Backhand
1323,Backhand
1324,Backhand
1325,Backhand
1326,Backhand
1327,Backhand
1328,Backhand
1329,Backhand
1330,Backhand
1331,Backhand
1332,Backhand
1333,Backhand
1334,Backhand
1335,Backhand
1336,Backhand
1337,Backhand
1338,Backhand
1339,Backhand
1340,Backhand
1341,Backhand
1342,Backhand
1343,Backhand
1344,Backhand
1345,Backhand
1346,Backhand
1347,Backhand
1348,Backhand
1349,Backhand
1350,Backhand
1351,Backhand
1352,Backhand
1353,Backhand
1354,Backhand
1355,Backhand
1356,Backhand
1357,Backhand
1358,Backhand
1359,Backhand
1360,Backhand
1361,Backhand
1362,Backhand
1363,Backhand
1364,Backhand
1365,Backhand
1366,Backhand
1367,Backhand
1368,Backhand
1369,Backhand
1370,Backhand
1371,Backhand
1372,Backhand
1373,Backhand
1374,Backhand
1375,Backhand
1376,Backhand
1377,Backhand
1378,Backhand
1379,Backhand
1380,Backhand
1381,Backhand
1382,Backhand
1383,Backhand
1384,Backhand
1385,Backhand
1386,Backhand
1387,Backhand
1388,Backhand
1389,Backhand
1390,Backhand
1391,Backhand
1392,Backhand
1393,Backhand
1394,Backhand
1395,Backhand
1396,Backhand
1397,Backhand
1398,Backhand
1399,Backhand
1400,Backhand
1401,Backhand
1402,Backhand
1403,Backhand
1404,Backhand
1405,Backhand
1406,Backhand
1407,Backhand
1408,Backhand
1409,Backhand
1410,Backhand
1411,Backhand
1412,Backhand
1413,Backhand
1414,Backhand
1415,Backhand
1416,Backhand
1417,Backhand
1418,Backhand
1419,Backhand
1420,Backhand
1421,Backhand
1422,Backhand
1423,Backhand
1424,Backhand
1425,Backhand
1426,Backhand
1427,Backhand
1428,Backhand
1429,Backhand
1430,Backhand
1431,Backhand
1432,Backhand
1433,Backhand
1434,Backhand
1435,Backhand
1436,Backhand
1437,Backhand
1438,Backhand
1439,Backhand
1440,Backhand
1441,Backhand
1442,Backhand
1443,Backhand
1444,Backhand
1445,Backhand
1446,Backhand
1447,Backhand
1448,Backhand
1449,Backhand
1450,Backhand
1451,Backhand
1452,Backhand
1453,Backhand
1454,Backhand
1455,Backhand
1456,Backhand
1457,Backhand
1458,Backhand
1459,Backhand
1460,Backhand
1461,Backhand
1462,Backhand
1463,Backhand
1464,Backhand
1465,Backhand
1466,Backhand
1467,Backhand
1468,Backhand
1469,Backhand
1470,Backhand
1471,Backhand
1472,Backhand
1473,Backhand
1474,Backhand
1475,Backhand
1476,Backhand
1477,Backhand
1478,Backhand
1479,Backhand
1480,Backhand
1481,Backhand
1482,Backhand
1483,Backhand
1484,Backhand
1485,Backhand
1486,Backhand
1487,Backhand
1488,Backhand
1489,Backhand
1490,Backhand
1491,Backhand
1492,Backhand
1493,Backhand
1494,Backhand
1495,Backhand
1496,Backhand
1497,Backhand
1498,Backhand
1499,Backhand
1500,Backhand
1501,Backhand
1502,Backhand
1503,Backhand
1504,Backhand
1505,Backhand
1506,Backhand
1507,Backhand
1508,Backhand
1509,Backhand
1510,Backhand
1511,Backhand
1512,Backhand
1513,Backhand
1514,Backhand
1515,Backhand
1516,Backhand
1517,Backhand
1518,Backhand
1519,Backhand
1520,Backhand
1521,Backhand
1522,Backhand
1523,Backhand
1524,Backhand
1525,Backhand
1526,Backhand
1527,Backhand
1528,Backhand
1529,Backhand
1530,Backhand
1531,Backhand
1532,Backhand
1533,Backhand
1534,Backhand
1535,Backhand
1536,Backhand
1537,Backhand
1538,Backhand
1539,Backhand
1540,Backhand
1541,Backhand
1542,Backhand
1543,Backhand
1544,Backhand
1545,Backhand
1546,Backhand
1547,Backhand
1548,Backhand
1549,Backhand
1550,Backhand
1551,Backhand
1552,Backhand
1553,Backhand
1554,Backhand
1555,Backhand
1556,Backhand
1557,Backhand
1558,Backhand
1559,Backhand
1560,Backhand
1561,Backhand
1562,Backhand
1563,Backhand
1564,Backhand
1565,Backhand
1566,Backhand
1567,Backhand
1568,Backhand
1569,Backhand
1570,Backhand
1571,Backhand
1572,Backhand
1573,Backhand
1574,Backhand
1575,Backhand
1576,Backhand
1577,Backhand
1578,Backhand
1579,Backhand
1580,Backhand
1581,Backhand
1582,Backhand
1583,Backhand
1584,Backhand
1585,Backhand
1586,Backhand
1587,Backhand
1588,Backhand
1589,Backhand
1590,Backhand
1591,Backhand
1592,Backhand
1593,Backhand
1594,Backhand
1595,Backhand
1596,Backhand
1597,Backhand
1598,Backhand
1599,Backhand
1600,Backhand
1601,Backhand
1602,Backhand
1603,Backhand
1604,Backhand
1605,Backhand
1606,Backhand
1607,Backhand
1608,Backhand
1609,Backhand
1610,Backhand
1611,Backhand
1612,Backhand
1613,Backhand
1614,Backhand
1615,Backhand
1616,Backhand
1617,Backhand
1618,Backhand
1619,Backhand
1620,Backhand
1621,Backhand
1622,Backhand
1623,Backhand
1624,Backhand
1625,Backhand
1626,Backhand
1627,Backhand
1628,Backhand
1629,Backhand
1630,Backhand
1631,Backhand
1632,Backhand
1633,Backhand
1634,Backhand
1635,Backhand
1636,Backhand
1637,Backhand
1638,Backhand
1639,Backhand
1640,Backhand
1641,Backhand
1642,Backhand
1643,Backhand
1644,Backhand
1645,Backhand
1646,Backhand
1647,Backhand
1648,Backhand
1649,Backhand
1650,Backhand
1651,Backhand
1652,Backhand
1653,Backhand
1654,Backhand
1655,Backhand
1656,Backhand
1657,Backhand
1658,Backhand
1659,Backhand
1660,Backhand
1661,Backhand
1662,Backhand
1663,Backhand
1664,Backhand
1665,Backhand
1666,Backhand
1667,Backhand
1668,Backhand
1669,Backhand
1670,Backhand
1671,Backhand
1672,Backhand
1673,Backhand
1674,Backhand
1675,Backhand
1676,Backhand
1677,Backhand
1678,Backhand
1679,Backhand
1680,Backhand
1681,Backhand
1682,Backhand
1683,Backhand
1684,Backhand
1685,Backhand
1686,Backhand
1687,Backhand
1688,Backhand
1689,Backhand
1690,Backhand
1691,Backhand
1692,Backhand
1693,Backhand
1694,Backhand
1695,Backhand
1696,Backhand
1697,Backhand
1698,Backhand
1699,Backhand
1700,Backhand
1701,Backhand
1702,Backhand
1703,Backhand
1704,Backhand
1705,Backhand
1706,Backhand
1707,Backhand
1708,Backhand
1709,Backhand
1710,Backhand
1711,Backhand
1712,Backhand
1713,Backhand
1714,Backhand
1715,Backhand
1716,Backhand
1717,Backhand
1718,Backhand
1719,Backhand
1720,Backhand
1721,Backhand
1722,Backhand
1723,Backhand
1724,Backhand
1725,Backhand
1726,Backhand
1727,Backhand
1728,Backhand
1729,Backhand
1730,Backhand
1731,Backhand
1732,Backhand
1733,Backhand
1734,Backhand
1735,Backhand
1736,Backhand
1737,Backhand
1738,Backhand
1739,Backhand
1740,Backhand
1741,Backhand
1742,Backhand
1743,Backhand
1744,Backhand
1745,Backhand
1746,Backhand
1747,Backhand
1748,Backhand
1749,Backhand
1750,Backhand
1751,Backhand
1752,Backhand
1753,Backhand
1754,Backhand
1755,Backhand
1756,Backhand
1757,Backhand
1758,Backhand
1759,Backhand
1760,Backhand
1761,Backhand
1762,Backhand
1763,Backhand
1764,Backhand
1765,Backhand
1766,Backhand
1767,Backhand
1768,Backhand
1769,Backhand
1770,Backhand
1771,Backhand
1772,Backhand
1773,Backhand
1774,Backhand
1775,Backhand
1776,Backhand
1777,Backhand
1778,Backhand
1779,Backhand
1780,Backhand
1781,Backhand
1782,Backhand
1783,Backhand
1784,Backhand
1785,Backhand
1786,Backhand
1787,Backhand
1788,Backhand
1789,Backhand
1790,Backhand
1791,Backhand
1792,Backhand
1793,Backhand
1794,Backhand
1795,Backhand
1796,Backhand
1797,Backhand
1798,Backhand
1799,Backhand
1800,Backhand
1801,Backhand
1802,Backhand
1803,Backhand
1804,Backhand
1805,Backhand
1806,Backhand
1807,Backhand
1808,Backhand
1809,Backhand
1810,Backhand
1811,Backhand
1812,Backhand
1813,Backhand
1814,Backhand
1815,Backhand
1816,Backhand
1817,Backhand
1818,Backhand
1819,Backhand
1820,Backhand
1821,Backhand
1822,Backhand
1823,Backhand
1824,Backhand
1825,Backhand
1826,Backhand
1827,Backhand
1828,Backhand
1829,Backhand
1830,Backhand
1831,Backhand
1832,Backhand
1833,Backhand
1834,Backhand
1835,Backhand
1836,Backhand
1837,Backhand
1838,Backhand
1839,Backhand
1840,Backhand
1841,Backhand
1842,Backhand
1843,Backhand
1844,Backhand
1845,Backhand
1846,Backhand
1847,Backhand
1848,Backhand
1849,Backhand
1850,Backhand
1851,Backhand
1852,Backhand
1853,Backhand
1854,Backhand
1855,Backhand
1856,Backhand
1857,Backhand
1858,Backhand
1859,Backhand
1860,Backhand
1861,Backhand
1862,Backhand
1863,Backhand
1864,Backhand
1865,Backhand
1866,Backhand
1867,Backhand
1868,Backhand
1869,Backhand
1870,Backhand
1871,Backhand
1872,Backhand
